workflow,paper_id,field,gold,pred,match,match_reason
metadata_prior_baseline,STTN,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,STTN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,STTN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,STTN,frequency_value,5,5,yes,exact
metadata_prior_baseline,STTN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,STTN,graph_node_count_min,228,not_reported,no,mismatch
metadata_prior_baseline,STTN,graph_node_count_max,325,not_reported,no,mismatch
metadata_prior_baseline,STTN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,STTN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,STTN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,STTN,confidence,high,medium,no,mismatch
metadata_prior_baseline,TL-DCRNN,year,2020,2020,yes,exact
metadata_prior_baseline,TL-DCRNN,venue_type,journal,preprint,no,mismatch
metadata_prior_baseline,TL-DCRNN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,TL-DCRNN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,TL-DCRNN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,TL-DCRNN,dataset_family,california_highway_pems,not_reported,no,set_mismatch
metadata_prior_baseline,TL-DCRNN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,TL-DCRNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,TL-DCRNN,horizon_type,single_horizon,multi_horizon,no,mismatch
metadata_prior_baseline,TL-DCRNN,horizon_min_value,60,15,no,mismatch
metadata_prior_baseline,TL-DCRNN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,TL-DCRNN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,TL-DCRNN,frequency_value,5,5,yes,exact
metadata_prior_baseline,TL-DCRNN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,TL-DCRNN,graph_node_count_min,11160,not_reported,no,mismatch
metadata_prior_baseline,TL-DCRNN,graph_node_count_max,11160,not_reported,no,mismatch
metadata_prior_baseline,TL-DCRNN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,TL-DCRNN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,TL-DCRNN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,TL-DCRNN,confidence,high,medium,no,mismatch
metadata_prior_baseline,MTGNN,year,2020,2020,yes,exact
metadata_prior_baseline,MTGNN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,MTGNN,domain_class,multivariate_timeseries,traffic,no,mismatch
metadata_prior_baseline,MTGNN,task_class,multivariate_timeseries_forecasting,traffic_forecasting,no,mismatch
metadata_prior_baseline,MTGNN,target_class,multiple_targets,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,MTGNN,dataset_family,traffic|solar_energy|electricity|exchange_rate|metr_la|pems_bay,not_reported,no,set_mismatch
metadata_prior_baseline,MTGNN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,MTGNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,MTGNN,horizon_type,sequence,multi_horizon,no,mismatch
metadata_prior_baseline,MTGNN,horizon_min_value,12,15,no,mismatch
metadata_prior_baseline,MTGNN,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,MTGNN,horizon_unit,steps,minutes,no,mismatch
metadata_prior_baseline,MTGNN,frequency_value,dataset_specific,5,no,mismatch
metadata_prior_baseline,MTGNN,frequency_unit,dataset_specific,minutes,no,mismatch
metadata_prior_baseline,MTGNN,graph_node_count_min,8,not_reported,no,mismatch
metadata_prior_baseline,MTGNN,graph_node_count_max,862,not_reported,no,mismatch
metadata_prior_baseline,MTGNN,node_unit,mixed,sensors,no,mismatch
metadata_prior_baseline,MTGNN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,MTGNN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,MTGNN,confidence,high,medium,no,mismatch
metadata_prior_baseline,H-STGCN,year,2020,2020,yes,exact
metadata_prior_baseline,H-STGCN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,H-STGCN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,H-STGCN,task_class,travel_time_forecasting,traffic_forecasting,no,mismatch
metadata_prior_baseline,H-STGCN,target_class,travel_time,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,H-STGCN,dataset_family,amap_beijing,not_reported,no,set_mismatch
metadata_prior_baseline,H-STGCN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,H-STGCN,has_public_dataset,no,yes,no,mismatch
metadata_prior_baseline,H-STGCN,horizon_type,single_horizon,multi_horizon,no,mismatch
metadata_prior_baseline,H-STGCN,horizon_min_value,60,15,no,mismatch
metadata_prior_baseline,H-STGCN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,H-STGCN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,H-STGCN,frequency_value,5,5,yes,exact
metadata_prior_baseline,H-STGCN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,H-STGCN,graph_node_count_min,715,not_reported,no,mismatch
metadata_prior_baseline,H-STGCN,graph_node_count_max,2907,not_reported,no,mismatch
metadata_prior_baseline,H-STGCN,node_unit,road_segments,sensors,no,mismatch
metadata_prior_baseline,H-STGCN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,H-STGCN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,H-STGCN,confidence,high,medium,no,mismatch
metadata_prior_baseline,AGCRN,year,2020,2020,yes,exact
metadata_prior_baseline,AGCRN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,AGCRN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,AGCRN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,AGCRN,target_class,traffic_flow,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,AGCRN,dataset_family,pemsd4|pemsd8,not_reported,no,set_mismatch
metadata_prior_baseline,AGCRN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,AGCRN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,AGCRN,horizon_type,sequence,multi_horizon,no,mismatch
metadata_prior_baseline,AGCRN,horizon_min_value,12,15,no,mismatch
metadata_prior_baseline,AGCRN,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,AGCRN,horizon_unit,steps,minutes,no,mismatch
metadata_prior_baseline,AGCRN,frequency_value,5,5,yes,exact
metadata_prior_baseline,AGCRN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,AGCRN,graph_node_count_min,170,not_reported,no,mismatch
metadata_prior_baseline,AGCRN,graph_node_count_max,307,not_reported,no,mismatch
metadata_prior_baseline,AGCRN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,AGCRN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,AGCRN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,AGCRN,confidence,high,medium,no,mismatch
metadata_prior_baseline,COVID-STGNN,year,2020,2020,yes,exact
metadata_prior_baseline,COVID-STGNN,venue_type,preprint,preprint,yes,exact
metadata_prior_baseline,COVID-STGNN,domain_class,epidemiology,epidemiology,yes,exact
metadata_prior_baseline,COVID-STGNN,task_class,covid_forecasting,covid_forecasting,yes,exact
metadata_prior_baseline,COVID-STGNN,target_class,covid_cases,covid_cases,yes,exact
metadata_prior_baseline,COVID-STGNN,dataset_family,nyt_covid|google_mobility,not_reported,no,set_mismatch
metadata_prior_baseline,COVID-STGNN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,COVID-STGNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,COVID-STGNN,horizon_type,single_horizon,multi_horizon,no,mismatch
metadata_prior_baseline,COVID-STGNN,horizon_min_value,1,15,no,mismatch
metadata_prior_baseline,COVID-STGNN,horizon_max_value,1,60,no,mismatch
metadata_prior_baseline,COVID-STGNN,horizon_unit,days,minutes,no,mismatch
metadata_prior_baseline,COVID-STGNN,frequency_value,1,5,no,mismatch
metadata_prior_baseline,COVID-STGNN,frequency_unit,days,minutes,no,mismatch
metadata_prior_baseline,COVID-STGNN,graph_node_count_min,20,not_reported,no,mismatch
metadata_prior_baseline,COVID-STGNN,graph_node_count_max,20,not_reported,no,mismatch
metadata_prior_baseline,COVID-STGNN,node_unit,counties,counties,yes,exact
metadata_prior_baseline,COVID-STGNN,graph_node_count_status,partial,partial,yes,exact
metadata_prior_baseline,COVID-STGNN,coding_status,partial,partial,yes,exact
metadata_prior_baseline,COVID-STGNN,confidence,medium,medium,yes,exact
metadata_prior_baseline,Dynamic DCRNN-WAN,year,2020,2020,yes,exact
metadata_prior_baseline,Dynamic DCRNN-WAN,venue_type,preprint,preprint,yes,exact
metadata_prior_baseline,Dynamic DCRNN-WAN,domain_class,network_traffic,traffic,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,task_class,network_traffic_forecasting,traffic_forecasting,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,target_class,network_bandwidth,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,dataset_family,not_reported,not_reported,yes,exact_set
metadata_prior_baseline,Dynamic DCRNN-WAN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,Dynamic DCRNN-WAN,has_public_dataset,no,yes,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,Dynamic DCRNN-WAN,horizon_min_value,6,15,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,horizon_max_value,24,60,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,horizon_unit,hours,minutes,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,frequency_value,1,5,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,frequency_unit,hours,minutes,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,graph_node_count_min,96,not_reported,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,graph_node_count_max,96,not_reported,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,node_unit,nodes,sensors,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,Dynamic DCRNN-WAN,confidence,high,medium,no,mismatch
metadata_prior_baseline,HighAir,year,2021,2021,yes,exact
metadata_prior_baseline,HighAir,venue_type,preprint,preprint,yes,exact
metadata_prior_baseline,HighAir,domain_class,air_quality,air_quality,yes,exact
metadata_prior_baseline,HighAir,task_class,air_quality_forecasting,air_quality_forecasting,yes,exact
metadata_prior_baseline,HighAir,target_class,aqi,aqi,yes,exact
metadata_prior_baseline,HighAir,dataset_family,yangtze_air_quality,not_reported,no,set_mismatch
metadata_prior_baseline,HighAir,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,HighAir,has_public_dataset,no,yes,no,mismatch
metadata_prior_baseline,HighAir,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,HighAir,horizon_min_value,1,15,no,mismatch
metadata_prior_baseline,HighAir,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,HighAir,horizon_unit,hours,minutes,no,mismatch
metadata_prior_baseline,HighAir,frequency_value,1,5,no,mismatch
metadata_prior_baseline,HighAir,frequency_unit,hours,minutes,no,mismatch
metadata_prior_baseline,HighAir,graph_node_count_min,10,not_reported,no,mismatch
metadata_prior_baseline,HighAir,graph_node_count_max,10,not_reported,no,mismatch
metadata_prior_baseline,HighAir,node_unit,stations,stations,yes,exact
metadata_prior_baseline,HighAir,graph_node_count_status,partial,partial,yes,exact
metadata_prior_baseline,HighAir,coding_status,partial,partial,yes,exact
metadata_prior_baseline,HighAir,confidence,medium,medium,yes,exact
metadata_prior_baseline,Radflow,year,2021,2021,yes,exact
metadata_prior_baseline,Radflow,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,Radflow,domain_class,general_network_timeseries,network_traffic,no,mismatch
metadata_prior_baseline,Radflow,task_class,network_timeseries_prediction,network_traffic_forecasting,no,mismatch
metadata_prior_baseline,Radflow,target_class,multiple_targets,network_bandwidth,no,mismatch
metadata_prior_baseline,Radflow,dataset_family,vevo_music|wiki_traffic|los_loop|sz_taxi,not_reported,no,set_mismatch
metadata_prior_baseline,Radflow,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,Radflow,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,Radflow,horizon_type,sequence,multi_horizon,no,mismatch
metadata_prior_baseline,Radflow,horizon_min_value,12,15,no,mismatch
metadata_prior_baseline,Radflow,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,Radflow,horizon_unit,steps,minutes,no,mismatch
metadata_prior_baseline,Radflow,frequency_value,dataset_specific,5,no,mismatch
metadata_prior_baseline,Radflow,frequency_unit,dataset_specific,minutes,no,mismatch
metadata_prior_baseline,Radflow,graph_node_count_min,156,not_reported,no,mismatch
metadata_prior_baseline,Radflow,graph_node_count_max,366802,not_reported,no,mismatch
metadata_prior_baseline,Radflow,node_unit,mixed,nodes,no,mismatch
metadata_prior_baseline,Radflow,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,Radflow,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,Radflow,confidence,high,medium,no,mismatch
metadata_prior_baseline,USTGCN,year,2021,2021,yes,exact
metadata_prior_baseline,USTGCN,venue_type,preprint,preprint,yes,exact
metadata_prior_baseline,USTGCN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,USTGCN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,USTGCN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,USTGCN,dataset_family,pemsd7|pemsd4|pemsd8,not_reported,no,set_mismatch
metadata_prior_baseline,USTGCN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,USTGCN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,USTGCN,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,USTGCN,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,USTGCN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,USTGCN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,USTGCN,frequency_value,5,5,yes,exact
metadata_prior_baseline,USTGCN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,USTGCN,graph_node_count_min,170,not_reported,no,mismatch
metadata_prior_baseline,USTGCN,graph_node_count_max,307,not_reported,no,mismatch
metadata_prior_baseline,USTGCN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,USTGCN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,USTGCN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,USTGCN,confidence,high,medium,no,mismatch
metadata_prior_baseline,DGCRN,year,2021,2021,yes,exact
metadata_prior_baseline,DGCRN,venue_type,journal,preprint,no,mismatch
metadata_prior_baseline,DGCRN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,DGCRN,task_class,benchmark_evaluation,traffic_forecasting,no,mismatch
metadata_prior_baseline,DGCRN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,DGCRN,dataset_family,metr_la|pems_bay|ne_bj,not_reported,no,set_mismatch
metadata_prior_baseline,DGCRN,has_public_code,yes,not_reported,no,mismatch
metadata_prior_baseline,DGCRN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,DGCRN,horizon_type,multi_horizon,multi_horizon,yes,exact
metadata_prior_baseline,DGCRN,horizon_min_value,15,15,yes,exact
metadata_prior_baseline,DGCRN,horizon_max_value,60,60,yes,exact
metadata_prior_baseline,DGCRN,horizon_unit,minutes,minutes,yes,exact
metadata_prior_baseline,DGCRN,frequency_value,5,5,yes,exact
metadata_prior_baseline,DGCRN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,DGCRN,graph_node_count_min,207,not_reported,no,mismatch
metadata_prior_baseline,DGCRN,graph_node_count_max,500,not_reported,no,mismatch
metadata_prior_baseline,DGCRN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,DGCRN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,DGCRN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,DGCRN,confidence,high,medium,no,mismatch
metadata_prior_baseline,CNFGNN,year,2021,2021,yes,exact
metadata_prior_baseline,CNFGNN,venue_type,conference,preprint,no,mismatch
metadata_prior_baseline,CNFGNN,domain_class,traffic,traffic,yes,exact
metadata_prior_baseline,CNFGNN,task_class,traffic_forecasting,traffic_forecasting,yes,exact
metadata_prior_baseline,CNFGNN,target_class,traffic_speed,traffic_speed_and_flow,no,mismatch
metadata_prior_baseline,CNFGNN,dataset_family,pems_bay|metr_la,not_reported,no,set_mismatch
metadata_prior_baseline,CNFGNN,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,CNFGNN,has_public_dataset,yes,yes,yes,exact
metadata_prior_baseline,CNFGNN,horizon_type,sequence,multi_horizon,no,mismatch
metadata_prior_baseline,CNFGNN,horizon_min_value,12,15,no,mismatch
metadata_prior_baseline,CNFGNN,horizon_max_value,12,60,no,mismatch
metadata_prior_baseline,CNFGNN,horizon_unit,steps,minutes,no,mismatch
metadata_prior_baseline,CNFGNN,frequency_value,5,5,yes,exact
metadata_prior_baseline,CNFGNN,frequency_unit,minutes,minutes,yes,exact
metadata_prior_baseline,CNFGNN,graph_node_count_min,207,not_reported,no,mismatch
metadata_prior_baseline,CNFGNN,graph_node_count_max,325,not_reported,no,mismatch
metadata_prior_baseline,CNFGNN,node_unit,sensors,sensors,yes,exact
metadata_prior_baseline,CNFGNN,graph_node_count_status,found,partial,no,mismatch
metadata_prior_baseline,CNFGNN,coding_status,complete,partial,no,mismatch
metadata_prior_baseline,CNFGNN,confidence,high,medium,no,mismatch
metadata_prior_baseline,PV-GCLSTM,year,2021,2021,yes,exact
metadata_prior_baseline,PV-GCLSTM,venue_type,journal,preprint,no,mismatch
metadata_prior_baseline,PV-GCLSTM,domain_class,energy_pv,energy_pv,yes,exact
metadata_prior_baseline,PV-GCLSTM,task_class,pv_power_forecasting,pv_power_forecasting,yes,exact
metadata_prior_baseline,PV-GCLSTM,target_class,pv_power,pv_power,yes,exact
metadata_prior_baseline,PV-GCLSTM,dataset_family,swiss_pv_real|swiss_pv_synthetic,not_reported,no,set_mismatch
metadata_prior_baseline,PV-GCLSTM,has_public_code,not_reported,not_reported,yes,exact
metadata_prior_baseline,PV-GCLSTM,has_public_dataset,no,yes,no,mismatch
metadata_prior_baseline,PV-GCLSTM,horizon_type,single_horizon,multi_horizon,no,mismatch
metadata_prior_baseline,PV-GCLSTM,horizon_min_value,6,15,no,mismatch
metadata_prior_baseline,PV-GCLSTM,horizon_max_value,6,60,no,mismatch
metadata_prior_baseline,PV-GCLSTM,horizon_unit,hours,minutes,no,mismatch
